CompanyName,Symbol,Sector,MarketCap,PE,Beta,Employees,Outstanding Shares,Institutional_Holding_perc,Retail_Holding_perc,
APPLE INC.,AAPL,"Computers, Phones & Household Electronics"," $2,663,332,608,000 ",27.10,1.19,"154,000","16,319,440,000",59.51,40.49,
MICROSOFT CORP.,MSFT,Software & IT Services," $2,211,200,626,700 ",31.38,0.91,"181,000","7,496,866,000",71.99,28.01,
UNITEDHEALTH GROUP INCORPORATED,UNH,Healthcare Providers & Services," $448,103,244,000 ",26.34,0.87,"350,000","940,899,200",89.59,10.41,
VISA INC.,V,Software & IT Services," $438,171,848,490 ",39.00,0.92,"21,500","2,096,817,000",96.07,3.93,
JOHNSON & JOHNSON,JNJ,Pharmaceuticals," $431,199,952,000 ",20.99,0.71,"141,700","2,629,268,000",70.39,29.61,
JPMORGAN CHASE & CO.,JPM,Banking Services," $402,910,788,049 ",8.89,1.11,"271,025","2,952,809,000",71.88,28.12,
WALMART INC.,WMT,Food & Drug Retailing," $377,219,669,220 ",27.89,0.54,"2,300,000","2,773,878,000",32.14,67.86,
THE PROCTER & GAMBLE COMPANY,PG,Personal & Household Products & Services," $367,494,188,460 ",27.09,0.45,"101,000","2,397,066,000",66.17,33.83,
"THE HOME DEPOT, INC.",HD,Specialty Retailers," $334,417,539,750 ",20.64,1.06,"504,800","1,044,239,000",71.72,28.28,
CHEVRON CORPORATION,CVX,Oil & Gas," $291,587,635,160 ",18.41,1.12,"42,595","1,947,553,000",67.47,32.53,
THE WALT DISNEY COMPANY,DIS,Media & Publishing," $270,291,300,000 ",84.68,1.17,"190,000","1,820,633,000",66.00,34.00,
THE COCA-COLA COMPANY,KO,Beverages," $268,669,261,810 ",27.48,0.66,"80,300","4,335,473,000",70.52,29.48,
"CISCO SYSTEMS, INC.",CSCO,Communications & Networking," $226,900,656,160 ",19.53,0.95,"79,500","4,154,168,000",75.80,24.20,
VERIZON COMMUNICATIONS INC.,VZ,Telecommunications Services," $225,045,344,640 ",10.08,0.38,"118,400","4,197,824,000",65.53,34.47,
"NIKE, INC.",NKE,Textiles & Apparel," $209,142,076,700 ",34.64,0.97,"73,300","1,581,295,000",83.55,16.45,
"SALESFORCE.COM, INC.",CRM,Software & IT Services," $205,756,650,000 ",139.15,1.10,"56,606","985,000,000",80.01,19.99,
"MERCK & CO., INC.",MRK,Pharmaceuticals," $193,573,800,000 ",15.69,0.46,"68,000","2,527,734,000",75.14,24.86,
INTEL CORPORATION,INTC,Semiconductors & Semiconductor Equipment," $190,604,220,000 ",9.64,0.55,"121,100","4,071,000,000",64.92,35.08,
MCDONALD'S CORPORATION,MCD,Hotels & Entertainment Services," $178,185,201,661 ",23.88,0.61,"200,000","743,584,700",69.72,30.28,
AMERICAN EXPRESS COMPANY,AXP,Banking Services," $135,203,157,750 ",17.82,1.11,"64,000","759,355,000",86.97,13.03,
HONEYWELL INTERNATIONAL INC.,HON,Consumer Goods Conglomerates," $125,916,331,680 ",23.20,1.13,"99,000","685,818,800",75.73,24.27,
AMGEN INC.,AMGN,Pharmaceuticals," $125,448,591,174 ",21.84,0.59,"24,200","557,029,400",77.93,22.07,
"THE GOLDMAN SACHS GROUP, INC.",GS,Investment Banking & Investment Services," $115,329,700,000 ",5.53,1.48,"43,900","337,923,000",72.95,27.05,
THE BOEING COMPANY,BA,Aerospace & Defense," $113,574,191,038 ",0.00,1.43,"142,000","582,999,800",55.17,44.83,
INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,Software & IT Services," $109,131,268,500 ",18.69,1.09,"307,600","899,310,000",57.34,42.66,
CATERPILLAR INC.,CAT,"Machinery, Equipment & Components"," $97,976,421,323 ",15.53,0.92,"107,700","535,888,100",69.01,30.99,
3M COMPANY,MMM,Consumer Goods Conglomerates," $82,666,725,000 ",14.31,0.97,"95,000","571,100,000",68.47,31.53,
DOW INC.,DOW,Chemicals," $42,025,880,064 ",6.81,1.32,"35,700","735,747,200",67.00,33.00,
THE TRAVELERS COMPANIES INC.,TRV,Insurance," $40,528,647,474 ",11.55,0.70,"30,800","241,500,700",84.80,15.20,
"WALGREENS BOOTS ALLIANCE, INC.",WBA,Food & Drug Retailing," $38,855,872,720 ",6.54,0.56,"202,000","863,272,000",59.09,40.91,
